
\textcolor{huyblack}{default_KNN_100} 0.550 0.543 0.530 0.547
\textcolor{huyblack}{default_DTC_100} 0.537 0.533 0.563 0.560
\textcolor{huyblack}{default_RF_100} 0.560 0.563 0.563 0.567
\textcolor{huyblack}{default_SVM_100} 0.577 0.573 0.583 0.573
\textcolor{huygray}{smac_KNN_100} 0.872 0.872 0.872 0.859
\textcolor{huygray}{smac_DTC_100} 0.885 0.872 0.885 0.833
\textcolor{huygray}{smac_RF_100} 0.872 0.897 0.872 0.897
\textcolor{huygray}{smac_SVM_100} 0.808 0.859 0.859 0.872
\textcolor{huygreen}{random_KNN_100} 0.447 0.440 0.437 0.443
\textcolor{huygreen}{random_DTC_100} 0.410 0.420 0.410 0.417
\textcolor{huygreen}{random_RF_100} 0.430 0.417 0.410 0.427
\textcolor{huygreen}{random_SVM_100} 0.433 0.423 0.417 0.427
\textcolor{huypink}{de_KNN_100} 0.437 0.437 0.437 0.453
\textcolor{huypink}{de_DTC_100} 0.433 0.450 0.427 0.413
\textcolor{huypink}{de_RF_100} 0.407 0.417 0.403 0.407
\textcolor{huypink}{de_SVM_100} 0.417 0.433 0.423 0.420
\textcolor{huyblue}{grid_KNN_100} 0.433 0.420 0.443 0.437
\textcolor{huyblue}{grid_DTC_100} 0.410 0.430 0.380 0.387
\textcolor{huyblue}{grid_RF_100} 0.407 0.400 0.400 0.407
\textcolor{huyblue}{grid_SVM_100} 0.423 0.430 0.423 0.430
